epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,504.94,1.03395,0.47259,0.91859,0.99615,0.99968,0.99477,0.74133,0.97372,0.41334,0.92835,0.000571119,0.000571119,0.000571119
60,514.495,1.02001,0.46035,0.94298,0.99093,0.99769,0.99386,0.7392,0.99369,0.42128,0.93367,0.000570827,0.000570827,0.000570827
61,523.53,1.01248,0.47712,0.93174,0.99649,0.99784,0.99496,0.73086,0.9975,0.41562,0.93214,0.000570536,0.000570536,0.000570536
62,531.558,1.03811,0.47286,0.95639,0.98672,0.99693,0.99472,0.74311,0.96656,0.40991,0.92701,0.000570245,0.000570245,0.000570245
63,541.175,1.00275,0.45527,0.92057,0.99481,0.9977,0.994,0.74451,0.96812,0.40857,0.92766,0.000569954,0.000569954,0.000569954
64,550.124,0.96161,0.44278,0.93586,0.99571,0.9975,0.99498,0.74103,0.9839,0.41198,0.93127,0.000569663,0.000569663,0.000569663
65,558.823,0.97294,0.45216,0.9155,0.99226,0.99762,0.99417,0.74245,0.98026,0.41748,0.93126,0.000569372,0.000569372,0.000569372
66,567.403,1.0041,0.46082,0.9283,0.99484,0.99502,0.9945,0.74366,0.96292,0.41293,0.92778,0.000569081,0.000569081,0.000569081
67,577.118,0.95608,0.45721,0.95073,0.99002,0.99613,0.99386,0.73625,0.98576,0.42202,0.93426,0.00056879,0.00056879,0.00056879
68,586.147,0.99881,0.46088,0.93885,0.99595,0.99923,0.99498,0.73993,0.97135,0.40396,0.92825,0.000568499,0.000568499,0.000568499
69,595.171,0.98511,0.44659,0.95304,0.99063,0.99806,0.99483,0.74306,0.95554,0.40661,0.92351,0.000568208,0.000568208,0.000568208
70,603.333,0.99054,0.47888,0.93457,0.99313,0.99922,0.99498,0.72997,0.98951,0.42346,0.92986,0.000567917,0.000567917,0.000567917
71,613.044,1.00103,0.44878,0.96411,0.99429,0.99443,0.99493,0.73764,0.98787,0.42092,0.92733,0.000567626,0.000567626,0.000567626
72,621.077,0.95397,0.44075,0.90037,0.99018,0.99813,0.99474,0.74228,0.9767,0.40872,0.92666,0.000567335,0.000567335,0.000567335
73,629.918,0.94227,0.46325,0.93463,0.99351,1,0.99499,0.74904,0.95319,0.40705,0.92037,0.000567044,0.000567044,0.000567044
74,638.559,0.9637,0.44782,0.91492,0.98967,0.98785,0.99493,0.74694,0.95524,0.40088,0.9248,0.000566753,0.000566753,0.000566753
75,647.629,1.01388,0.44598,0.96381,0.99347,1,0.995,0.74272,0.95558,0.40257,0.92341,0.000566462,0.000566462,0.000566462
76,656.577,0.97391,0.44047,0.91756,0.99731,0.9987,0.99499,0.75319,0.94673,0.39967,0.9229,0.000566171,0.000566171,0.000566171
